date,ip,id,ville,departement,region,latitude,longitude
2025-04-14 12:03:00,2a01:cb00:142b:6900:e9dd:b548:2658:2bf9,35459,Cergy,95,11,49.0331671,2.0547222
2025-04-14 12:03:10,2a01:cb00:142b:6900:e9dd:b548:2658:2bf9,29922,Alvimare,76,28,49.6071704,0.63056453333333
2025-04-14 16:07:53,2a01:cb00:142b:6900:e9dd:b548:2658:2bf9,23662,Argentan,61,28,48.726279401198,-0.00818089820359
2025-04-14 16:12:17,2a01:cb00:142b:6900:e9dd:b548:2658:2bf9,23662,Argentan,61,28,48.726279401198,-0.00818089820359
2025-04-14 16:48:56,2a01:cb00:142b:6900:e9dd:b548:2658:2bf9,6746,Arcey,21,27,47.276903896104,4.8241446753247
2025-04-14 17:28:02,2a01:cb00:142b:6900:e9dd:b548:2658:2bf9,6851,Censerey,21,27,47.195259933775,4.3360446357616
2025-04-14 17:29:09,2a02:842a:1e6:4f01:c882:a203:47ba:e97a,33583,Antran,86,75,46.877149253731,0.52326992537313
2025-04-14 17:41:15,2a01:cb00:142b:6900:e9dd:b548:2658:2bf9,6851,Censerey,21,27,47.195259933775,4.3360446357616
2025-04-14 17:54:51,2a01:cb00:142b:6900:e9dd:b548:2658:2bf9,6851,Censerey,21,27,47.195259933775,4.3360446357616
2025-04-14 17:57:04,2a01:cb00:142b:6900:e9dd:b548:2658:2bf9,6851,Censerey,21,27,47.195259933775,4.3360446357616
2025-04-14 18:30:06,81.65.90.50,22017,Asnois,58,27,47.400455789474,3.595705368421
2025-04-14 18:33:58,81.65.90.50,35148,Chilly-Mazarin,91,11,48.704193809524,2.3091949206349
2025-04-14 18:40:03,81.65.90.50,24177,Bernieulles,62,32,50.555752361111,1.7763597222222
2025-04-14 18:41:01,81.65.90.50,24177,Bernieulles,62,32,50.555752361111,1.7763597222222
2025-04-14 18:42:15,81.65.90.50,35625,Lamentin,971,01,16.240808022989,-61.669469356322
2025-04-15 14:55:50,2a01:cb00:142b:6900:98e6:e8c3:768b:f2ad,35459,Cergy,95,11,49.0331671,2.0547222
2025-04-15 14:57:08,81.65.90.50,22453,Chemy,59,32,50.5318545,2.996854
2025-04-15 14:57:57,81.65.90.50,22453,Chemy,59,32,50.5318545,2.996854
2025-04-15 14:57:59,81.65.90.50,22453,Chemy,59,32,50.5318545,2.996854
2025-04-15 14:58:18,81.65.90.50,35089,Thiancourt,90,27,47.523987583333,6.9848285
2025-04-15 14:58:20,81.65.90.50,35089,Thiancourt,90,27,47.523987583333,6.9848285
2025-04-15 14:58:22,81.65.90.50,35089,Thiancourt,90,27,47.523987583333,6.9848285
2025-04-15 14:58:39,81.65.90.50,35089,Thiancourt,90,27,47.523987583333,6.9848285
2025-04-15 14:59:44,81.65.90.50,35089,Thiancourt,90,27,47.523987583333,6.9848285
